"product_name","product_url","product_instock","product_price"
"Philips Hue White A19 60W Equivalent LED Smart Bulb Starter Kit (4 A19 White Bulbs and 1 Hub Compatible with Amazon Alexa Apple HomeKit and Google Assistant)","https://www.amazon.com/Philips-Hue-Equivalent-Compatible-Assistant/dp/B07354SP1C/ref=sxin_0_osp48-aa92a2dc_cov?ascsubtag=aa92a2dc-3c51-4bd4-84ae-194e86169596&creativeASIN=B07354SP1C&cv_ct_cx=smart+light&cv_ct_id=amzn1.osp.aa92a2dc-3c51-4bd4-84ae-194e86169596&cv_ct_pg=search&cv_ct_wn=osp-search&keywords=smart+light&linkCode=oas&pd_rd_i=B07354SP1C&pd_rd_r=d7ebff29-4c90-446b-976e-e851b5ad6a99&pd_rd_w=yQaj8&pd_rd_wg=xAElo&pf_rd_p=62c00474-6fe0-420f-9956-a05256e04b43&pf_rd_r=28SPZKBDXS36QTHWAWGK&qid=1581539632&sr=1-1-32a32192-7547-4d9b-b4f8-fe31bfe05040&tag=spyonsite-20","",""
"Smart WiFi Light Bulb, LED RGB Color Changing, Compatible with Alexa and Google Home Assistant, No Hub Required, A19 E26 Multicolor LUMIMAN 2 Pack","https://www.amazon.com/Changing-Compatible-Assistant-Multicolor-LUMIMAN/dp/B07DLSNNDS/ref=sxin_0_osp48-aa92a2dc_cov?ascsubtag=aa92a2dc-3c51-4bd4-84ae-194e86169596&creativeASIN=B07DLSNNDS&cv_ct_cx=smart+light&cv_ct_id=amzn1.osp.aa92a2dc-3c51-4bd4-84ae-194e86169596&cv_ct_pg=search&cv_ct_wn=osp-search&keywords=smart+light&linkCode=oas&pd_rd_i=B07DLSNNDS&pd_rd_r=d7ebff29-4c90-446b-976e-e851b5ad6a99&pd_rd_w=yQaj8&pd_rd_wg=xAElo&pf_rd_p=62c00474-6fe0-420f-9956-a05256e04b43&pf_rd_r=28SPZKBDXS36QTHWAWGK&qid=1581539632&sr=1-2-32a32192-7547-4d9b-b4f8-fe31bfe05040&tag=spyonsite-20","In Stock.",""
"Kasa Smart Light Bulb by TP-Link – WiFi Bulbs, No Hub Required, Old Version, Works with Alexa & Google (LB110)","https://www.amazon.com/TP-Link-LB110-Smart-Wi-Fi-Dimmable/dp/B01HXM8XE2/ref=sxin_0_osp48-aa92a2dc_cov?ascsubtag=aa92a2dc-3c51-4bd4-84ae-194e86169596&creativeASIN=B01HXM8XE2&cv_ct_cx=smart+light&cv_ct_id=amzn1.osp.aa92a2dc-3c51-4bd4-84ae-194e86169596&cv_ct_pg=search&cv_ct_wn=osp-search&keywords=smart+light&linkCode=oas&pd_rd_i=B01HXM8XE2&pd_rd_r=d7ebff29-4c90-446b-976e-e851b5ad6a99&pd_rd_w=yQaj8&pd_rd_wg=xAElo&pf_rd_p=62c00474-6fe0-420f-9956-a05256e04b43&pf_rd_r=28SPZKBDXS36QTHWAWGK&qid=1581539632&sr=1-3-32a32192-7547-4d9b-b4f8-fe31bfe05040&tag=spyonsite-20","In Stock.",""
"Smart LED Light Bulb 2.4G(Not 5G) E26 WiFi Multicolor Light Bulb Work with Alexa,Siri, Echo, Google Home and IFTTT (No Hub Required), A19 60W Equivalent RGB Color Changing Bulb (4 Pack)","https://www.amazon.com/Multicolor-Google-Required-Equivalent-Changing/dp/B07QYMPT6W/ref=sr_1_1?keywords=smart+light&qid=1581539632&sr=8-1","In Stock.","39."
"BERENNIS Smart Light Bulb, A19 E26 RGBCW WiFi Dimmable Multicolor LED Lights, Compatible with Alexa, Google Home and IFTTT (No Hub Required) 7W (60w Equivalent) 3 Pack","https://www.amazon.com/BERENNIS-Dimmable-Multicolored-Required-Compatible/dp/B07GGWNQT7/ref=sr_1_2?keywords=smart+light&qid=1581539632&sr=8-2","In Stock.","29."
"Govee Smart WiFi LED Strip Lights Works with Alexa, Google Home Brighter 5050 LED, 16 Million Colors Phone App Controlled Music Light Strip for Home, Kitchen, TV, Party, for iOS and Android, 16.4ft","https://www.amazon.com/Govee-Brighter-Million-Controlled-Kitchen/dp/B07N1CMGQQ/ref=sr_1_3?keywords=smart+light&qid=1581539632&smid=A2KZ7X05DCDJDL&sr=8-3","In Stock.","25."
"Smart WiFi Light Bulb, LED RGB Color Changing, Compatible with Alexa and Google Home Assistant, No Hub Required, A19 E26 Multicolor LUMIMAN 2 Pack","https://www.amazon.com/Changing-Compatible-Assistant-Multicolor-LUMIMAN/dp/B07DLSNNDS/ref=sr_1_4?keywords=smart+light&qid=1581539632&sr=8-4","In Stock.","22."
"Smart WiFi Light Bulb with Soft White Light, TECKIN 16 Million RGB Color Changing LED Bulb That Work with Alexa, Google Home (No Hub Required), 7.5W (60w Equivalent),4 Pack","https://www.amazon.com/Multicolor-Compatible-Required-TECKIN-Equivalent/dp/B07GT3RXM6/ref=sr_1_5?keywords=smart+light&qid=1581539632&sr=8-5","In Stock.","39."
"Smart LED Light Bulb 2.4G(Not 5G) E26 WiFi Multicolor Light Bulb Work with Siri,Alexa, Echo, Google Home and IFTTT (No Hub Required), Peteme A19 60W Equivalent RGB Color Changing Bulb (2 Pack)","https://www.amazon.com/Multicolor-Required-Peteme-Equivalent-Changing/dp/B07MKDLV1V/ref=sr_1_6?keywords=smart+light&qid=1581539632&sr=8-6","In Stock.","20."
"Smart WiFi Alexa Light Bulbs 2.4G, SAUDIO LED RGB Color Changing Bulbs, Compatible with Siri,Alexa,IFTTT and Google Home Assistant, No Hub Required, A19 E26 Multicolor 4 Pack","https://www.amazon.com/SAUDIO-Changing-Compatible-Assistant-Multicolor/dp/B07RX62616/ref=sr_1_7?keywords=smart+light&qid=1581539632&sr=8-7","In Stock.","39."
